Date,Tmax,Tmin,Tavg
"27/8/19",76.000000,65.000000,74.000000
"28/8/19",76.000000,69.000000,76.500000
"29/8/19",84.000000,69.000000,79.500000
"30/8/19",89.000000,70.000000,76.500000
"31/8/19",82.000000,71.000000,79.500000
"1/9/19",78.000000,65.000000,73.000000
"2/9/19",79.000000,70.000000,70.500000
"3/9/19",82.000000,69.000000,73.000000
"4/9/19",89.000000,70.000000,76.500000
"5/9/19",74.000000,65.000000,64.500000
"6/9/19",69.000000,60.000000,61.000000
"7/9/19",77.000000,58.000000,73.000000
"8/9/19",79.000000,67.000000,71.500000
"9/9/19",77.000000,66.000000,73.000000
"10/9/19",78.000000,68.000000,71.500000
"11/9/19",91.000000,70.000000,85.000000
"12/9/19",83.000000,64.000000,66.500000
"13/9/19",73.000000,60.000000,68.500000
"14/9/19",78.000000,63.000000,74.000000
"15/9/19",85.000000,71.000000,77.500000
"16/9/19",77.000000,70.000000,66.500000
"17/9/19",79.000000,63.000000,70.500000
"18/9/19",70.000000,58.000000,70.500000
"19/9/19",71.000000,54.000000,69.500000
"20/9/19",79.000000,60.000000,64.500000
"21/9/19",86.000000,63.000000,70.500000
"22/9/19",86.000000,68.000000,72.000000
"23/9/19",90.000000,72.000000,82.000000
"24/9/19",76.000000,67.000000,73.000000
"25/9/19",79.000000,62.000000,74.000000
"26/9/19",82.000000,67.000000,70.500000
"27/9/19",78.000000,63.000000,74.000000
"28/9/19",81.000000,67.000000,72.500000
"29/9/19",79.000000,66.000000,76.500000
"30/9/19",72.000000,61.000000,68.500000
"1/10/19",82.000000,64.000000,71.500000
"2/10/19",95.000000,63.000000,79.500000
"3/10/19",67.000000,54.000000,58.000000
"4/10/19",66.000000,50.000000,61.000000
"5/10/19",60.000000,46.000000,55.500000
"6/10/19",71.000000,57.000000,70.500000
"7/10/19",79.000000,60.000000,64.500000
"8/10/19",66.000000,59.000000,69.500000
"9/10/19",61.000000,53.000000,62.500000
"10/10/19",72.000000,53.000000,69.500000
"11/10/19",66.000000,55.000000,58.000000
"12/10/19",69.000000,56.000000,69.500000
"13/10/19",67.000000,56.000000,67.000000
"14/10/19",75.000000,59.000000,68.000000
"15/10/19",66.000000,54.000000,48.000000
"16/10/19",67.000000,54.000000,58.000000
"17/10/19",59.000000,52.000000,58.000000
"18/10/19",59.000000,49.000000,56.500000
"19/10/19",62.000000,47.000000,64.500000
"20/10/19",59.000000,51.000000,42.500000
"21/10/19",68.000000,52.000000,48.000000
"22/10/19",63.000000,55.000000,61.000000
"23/10/19",66.000000,56.000000,56.500000
"24/10/19",68.000000,52.000000,48.000000
"25/10/19",67.000000,53.000000,48.000000
"26/10/19",63.000000,54.000000,55.500000
"27/10/19",70.000000,56.000000,46.500000
"28/10/19",63.000000,54.000000,55.500000
"29/10/19",58.000000,53.000000,58.000000
"30/10/19",60.000000,56.000000,61.000000
"31/10/19",67.000000,59.000000,46.500000
"1/11/19",67.000000,43.000000,42.500000
"2/11/19",50.000000,40.000000,48.500000
"3/11/19",53.000000,44.000000,49.000000
